tag,algo,repeat,fold,model__estimator__depth,model__estimator__iterations,model__estimator__l2_leaf_reg,model__estimator__learning_rate,model__n_features_to_select,model__estimator__class_weight,model__estimator__max_depth,model__estimator__max_features,model__estimator__min_samples_leaf,model__estimator__colsample_bytree,model__estimator__min_child_weight,model__estimator__n_estimators,model__estimator__reg_lambda,model__estimator__subsample,model__C,model__l1_ratio
L3,xgb,1,0,,,,0.07269868532961692,12.0,,2.0,,,0.8292811066991898,2.185937213742496,92.0,4.100778511936923,0.9318357379290637,,
L3,xgb,1,1,,,,0.023622355539294954,6.0,,4.0,,,0.7088732258522699,4.968470983175984,153.0,2.033944594360555,0.7576766283970021,,
L3,xgb,1,2,,,,0.06972551830903656,12.0,,1.0,,,0.564494144330935,1.4249193275509136,100.0,0.9823268120411601,0.767165085336826,,
L3,xgb,1,3,,,,0.13248377266417108,6.0,,2.0,,,0.814313883472467,9.857488367425855,71.0,10.80708478961479,0.894986019386989,,
L3,xgb,1,4,,,,0.20339828658487882,12.0,,4.0,,,0.5194758192430791,1.9288430967066,54.0,3.9454688272164176,0.6321932294216771,,
L3,xgb,2,0,,,,0.05286975801314032,6.0,,3.0,,,0.8470769365056284,1.4192917510646772,81.0,0.7519030561803105,0.8110227045161945,,
L3,xgb,2,1,,,,0.05397414831244243,12.0,,1.0,,,0.6210173108538988,2.1168753474795325,112.0,1.0971910522113126,0.9429492539384132,,
L3,xgb,2,2,,,,0.044736539165265383,18.0,,1.0,,,0.8272568691325443,5.2895848122455105,127.0,6.012105207172595,0.6406548096102296,,
L3,xgb,2,3,,,,0.06684811338425785,12.0,,3.0,,,0.7461451771988842,3.3775754082042995,151.0,11.37756740986386,0.6753448193589526,,
L3,xgb,2,4,,,,0.033391150730093036,18.0,,2.0,,,0.7751007873092031,2.044195411496171,139.0,7.1757048678998085,0.6477848558021985,,
L4,xgb,0,0,,,,0.17414595755201456,12.0,,4.0,,,0.989309171116382,3.3149537959046778,59.0,0.7734864854828253,0.8559684085310095,,
L4,xgb,0,1,,,,0.2752922411234819,6.0,,4.0,,,0.9003722843377684,1.2382285364939403,97.0,12.676460341412865,0.957842665401539,,
