tag,algo,imputer,repeat,fold,auc,inner_auc,n_train,n_test,seconds,kind
L2,xgb,median,1,2,0.8653198653198654,0.8289396945646946,151,38,19.79420018196106,cv
L2,xgb,median,1,3,0.8484848484848485,0.8089841871091872,151,38,20.35734224319458,cv
L2,xgb,median,1,4,0.6592592592592592,0.861489898989899,152,37,15.855246543884277,cv
L2,xgb,median,2,0,0.7928571428571429,0.850084175084175,151,38,27.119636058807373,cv
L2,xgb,median,2,1,0.7542087542087542,0.8426166426166427,151,38,15.533679246902466,cv
L2,xgb,median,2,2,0.8720538720538721,0.8196608946608946,151,38,17.918124437332153,cv
L2,xgb,median,2,3,0.9225589225589226,0.7869077681577681,151,38,36.805593967437744,cv
L2,xgb,median,2,4,0.8407407407407408,0.8073352573352574,152,37,21.857952117919922,cv
L3,xgb,median,0,0,0.8142857142857143,0.8255892255892254,151,38,52.17060208320618,cv
L3,xgb,median,0,1,0.8417508417508417,0.8485434704184704,151,38,17.390553951263428,cv
L3,xgb,median,0,2,0.7373737373737375,0.8625841750841752,151,38,18.909798860549927,cv
L3,xgb,median,0,3,0.8249158249158249,0.84748075998076,151,38,20.093490600585938,cv
L3,xgb,median,0,4,0.9481481481481481,0.8054232804232804,152,37,47.19002294540405,cv
L3,xgb,median,1,0,0.85,0.8088383838383839,151,38,40.79273080825806,cv
L3,xgb,median,1,1,0.8417508417508418,0.8243807118807118,151,38,31.223090171813965,cv
L3,xgb,median,1,2,0.835016835016835,0.8457641895141895,151,38,19.42504644393921,cv
L3,xgb,median,1,3,0.8619528619528619,0.8128592472342472,151,38,46.22320795059204,cv
L3,xgb,median,1,4,0.762962962962963,0.8639880952380952,152,37,12.236850023269653,cv
L3,xgb,median,2,0,0.7964285714285715,0.888973063973064,151,38,42.686033487319946,cv
L3,xgb,median,2,1,0.7878787878787878,0.8741131553631554,151,38,23.060896635055542,cv
L3,xgb,median,2,2,0.8686868686868686,0.8372294372294373,151,38,24.832507133483887,cv
L3,xgb,median,2,3,0.9292929292929293,0.797468734968735,151,38,35.74988508224487,cv
L3,xgb,median,2,4,0.8888888888888888,0.8226911976911977,152,37,28.702274322509766,cv
L4,xgb,median,0,0,0.9535714285714285,0.8675925925925926,151,38,32.8958477973938,cv
L4,xgb,median,0,1,0.9023569023569022,0.9146224146224146,151,38,23.036072492599487,cv
L4,xgb,median,0,2,0.8080808080808082,0.902435064935065,151,38,35.73412537574768,cv
L4,xgb,median,0,3,0.9191919191919191,0.8664051226551226,151,38,41.99781155586243,cv
L4,xgb,median,0,4,0.9555555555555556,0.8695256132756133,152,37,41.274170875549316,cv
L4,xgb,median,1,0,0.8571428571428572,0.8715488215488215,151,38,21.653688430786133,cv
L4,xgb,median,1,1,0.9090909090909091,0.8528769841269841,151,38,47.376420736312866,cv
L4,xgb,median,1,2,0.9326599326599326,0.8783399470899471,151,38,37.39455032348633,cv
L4,xgb,median,1,3,0.9562289562289562,0.8461309523809523,151,38,20.805076599121094,cv
L4,xgb,median,1,4,0.7814814814814814,0.9233976671476671,152,37,15.071710586547852,cv
L4,xgb,median,2,0,0.8857142857142856,0.9309343434343434,151,38,21.36125421524048,cv
L4,xgb,median,2,1,0.8451178451178452,0.918166786916787,151,38,28.129632711410522,cv
L4,xgb,median,2,2,0.9158249158249158,0.8850018037518038,151,38,19.015724182128906,cv
L4,xgb,median,2,3,0.9393939393939393,0.8614613395863395,151,38,22.13437843322754,cv
L4,xgb,median,2,4,0.9185185185185185,0.9063822751322751,152,37,19.51492214202881,cv
L5,xgb,median,0,0,0.9428571428571428,0.8761784511784512,151,38,23.38343644142151,cv
L5,xgb,median,0,1,0.8787878787878788,0.909066859066859,151,38,17.564048290252686,cv
L5,xgb,median,0,2,0.7845117845117846,0.9108856421356422,151,38,32.871647357940674,cv
L5,xgb,median,0,3,0.9158249158249159,0.8627344877344878,151,38,33.62464189529419,cv
L5,xgb,median,0,4,0.9407407407407408,0.8711700336700336,152,37,31.797664880752563,cv
L5,xgb,median,1,0,0.8464285714285715,0.8743265993265993,151,38,16.858777046203613,cv
L5,xgb,median,1,1,0.835016835016835,0.86506734006734,151,38,26.672318935394287,cv
